Player,FoulsCommitted,FoulsDrawn,Offside,BallRecoveries,AerialDuelsWon,AerialDuelsLost,season_name
Pierre-Emerick Aubameyang,14,20,20,92,33,58,2019-2020
David Luiz,30,14,1,128,51,41,2019-2020
Bernd Leno,0,4,0,37,8,2,2019-2020
Granit Xhaka,56,32,0,195,45,54,2019-2020
Nicolas Pépé,14,37,4,104,21,41,2019-2020
Alexandre Lacazette,44,45,13,76,26,57,2019-2020
Bukayo Saka,22,28,10,87,7,41,2019-2020
Mattéo Guendouzi,17,49,0,117,12,16,2019-2020
Sead Kolašinac,20,16,5,103,27,19,2019-2020
Sokratis Papastathopoulos,19,12,1,71,58,27,2019-2020
Dani Ceballos,19,35,0,153,9,24,2019-2020
Mesut Özil,14,18,6,71,1,4,2019-2020
Lucas Torreira,24,43,0,107,10,21,2019-2020
Ainsley Maitland-Niles,15,13,0,86,17,12,2019-2020
Shkodran Mustafi,14,3,0,42,65,21,2019-2020
Héctor Bellerín,15,3,1,54,13,16,2019-2020
Calum Chambers,18,4,0,69,36,30,2019-2020
Kieran Tierney,8,12,0,60,9,15,2019-2020
Joe Willock,10,13,0,62,8,14,2019-2020
Emiliano Martínez,0,0,0,4,0,0,2019-2020
Eddie Nketiah,16,10,3,15,7,8,2019-2020
Reiss Nelson,8,8,4,30,0,5,2019-2020
Gabriel Martinelli,9,10,2,34,7,35,2019-2020
Rob Holding,4,3,0,22,16,14,2019-2020
Nacho Monreal,1,1,2,14,7,8,2019-2020
Cédric Soares,6,1,0,10,2,3,2019-2020
Pablo Marí,2,0,0,9,4,2,2019-2020
Henrikh Mkhitaryan,2,2,1,4,2,1,2019-2020
Emile Smith Rowe,0,1,0,5,0,0,2019-2020
Bernd Leno,2,4,0,39,10,0,2020-2021
Bukayo Saka,28,64,15,115,13,42,2020-2021
Granit Xhaka,39,37,1,203,39,35,2020-2021
Rob Holding,25,5,2,138,71,60,2020-2021
Pierre-Emerick Aubameyang,13,18,17,65,34,58,2020-2021
Kieran Tierney,14,18,0,115,16,42,2020-2021
Héctor Bellerín,21,7,1,91,31,30,2020-2021
Gabriel Dos Santos,23,26,0,118,57,40,2020-2021
Alexandre Lacazette,37,54,8,59,27,61,2020-2021
Thomas Partey,18,17,0,140,23,18,2020-2021
Emile Smith Rowe,5,20,4,79,4,10,2020-2021
Dani Ceballos,23,24,0,136,8,13,2020-2021
Mohamed Elneny,10,10,0,92,7,24,2020-2021
David Luiz,15,5,1,64,35,13,2020-2021
Nicolas Pépé,11,26,4,80,36,30,2020-2021
Willian,5,21,4,47,9,16,2020-2021
Pablo Marí,8,4,0,36,25,21,2020-2021
Martin Ødegaard,1,9,1,40,2,13,2020-2021
Calum Chambers,7,2,0,42,20,18,2020-2021
Cédric Soares,6,5,0,40,7,12,2020-2021
Gabriel Martinelli,9,4,1,22,7,13,2020-2021
Ainsley Maitland-Niles,6,3,2,39,3,3,2020-2021
Eddie Nketiah,10,11,0,12,7,16,2020-2021
Mathew Ryan,0,0,0,2,1,1,2020-2021
Joe Willock,6,4,0,14,8,4,2020-2021
Sead Kolašinac,1,1,0,2,1,1,2020-2021
Reiss Nelson,2,1,0,5,0,0,2020-2021
Shkodran Mustafi,1,0,0,3,3,0,2020-2021
Rúnar Alex Rúnarsson,0,0,0,0,0,0,2020-2021
Bukayo Saka,39,59,17,141,23,43,2021-2022
Gabriel Dos Santos,23,38,1,178,55,39,2021-2022
Aaron Ramsdale,0,5,0,40,6,2,2021-2022
Ben White,19,27,0,158,60,40,2021-2022
Martin Ødegaard,27,20,3,162,14,23,2021-2022
Granit Xhaka,29,19,2,146,27,29,2021-2022
Thomas Partey,33,17,0,153,23,25,2021-2022
Kieran Tierney,5,16,1,85,12,23,2021-2022
Emile Smith Rowe,5,21,2,105,7,18,2021-2022
Gabriel Martinelli,24,20,10,86,18,44,2021-2022
Alexandre Lacazette,32,29,6,52,21,47,2021-2022
Takehiro Tomiyasu,16,13,0,89,48,39,2021-2022
Cédric Soares,15,6,3,79,12,27,2021-2022
Nuno Tavares,23,13,1,68,23,22,2021-2022
Albert Sambi Lokonga,12,15,0,72,15,20,2021-2022
Pierre-Emerick Aubameyang,15,8,10,22,25,28,2021-2022
Rob Holding,9,3,0,49,28,22,2021-2022
Eddie Nketiah,17,14,5,27,8,33,2021-2022
Mohamed Elneny,5,5,0,51,6,6,2021-2022
Nicolas Pépé,8,3,4,43,18,31,2021-2022
Bernd Leno,0,0,0,2,3,1,2021-2022
Ainsley Maitland-Niles,4,3,0,23,3,3,2021-2022
Pablo Marí,1,1,0,10,5,3,2021-2022
Calum Chambers,2,1,0,14,2,1,2021-2022
Sead Kolašinac,2,0,0,2,0,0,2021-2022
Folarin Balogun,0,1,1,2,1,3,2021-2022
Reiss Nelson,0,0,0,2,0,0,2021-2022
Aaron Ramsdale,0,4,0,33,6,0,2022-2023
Gabriel Dos Santos,25,40,1,191,100,76,2022-2023
Bukayo Saka,43,65,9,127,16,38,2022-2023
Martin Ødegaard,30,26,1,178,13,20,2022-2023
Ben White,28,30,1,155,33,41,2022-2023
Granit Xhaka,26,39,5,152,37,30,2022-2023
Gabriel Martinelli,39,37,8,103,14,63,2022-2023
Thomas Partey,37,23,0,225,37,25,2022-2023
William Saliba,19,13,0,206,53,43,2022-2023
Oleksandr Zinchenko,6,11,1,163,51,20,2022-2023
Gabriel Jesus,43,56,16,79,44,78,2022-2023
Leandro Trossard,9,17,4,46,1,4,2022-2023
Eddie Nketiah,30,25,8,30,10,31,2022-2023
Jorginho,6,18,0,69,10,8,2022-2023
Kieran Tierney,5,9,1,43,6,18,2022-2023
Takehiro Tomiyasu,6,3,0,42,17,20,2022-2023
Rob Holding,5,2,0,40,22,17,2022-2023
Jakub Kiwior,1,1,0,20,8,10,2022-2023
Fabio Vieira,3,5,0,34,3,5,2022-2023
Albert Sambi Lokonga,1,5,0,14,3,2,2022-2023
Mohamed Elneny,1,1,0,10,0,2,2022-2023
Reiss Nelson,8,4,0,16,2,5,2022-2023
Emile Smith Rowe,1,1,1,8,0,2,2022-2023
Cédric Soares,1,0,0,0,0,1,2022-2023
Marquinhos,0,0,0,0,0,0,2022-2023
Ethan Nwaneri,0,0,0,0,0,0,2022-2023
William Saliba,13,9,0,136,48,34,2023-2024
Declan Rice,19,9,1,119,26,35,2023-2024
Bukayo Saka,25,48,5,113,18,24,2023-2024
Martin Ødegaard,20,19,2,94,2,5,2023-2024
Ben White,10,7,5,70,23,12,2023-2024
Gabriel Dos Santos,17,20,1,81,53,35,2023-2024
Gabriel Martinelli,15,19,8,70,10,24,2023-2024
David Raya,0,2,0,26,3,1,2023-2024
Oleksandr Zinchenko,7,8,1,85,24,14,2023-2024
Kai Havertz,26,28,5,72,43,55,2023-2024
Gabriel Jesus,22,25,11,45,13,28,2023-2024
Eddie Nketiah,21,26,7,20,17,23,2023-2024
Leandro Trossard,5,10,5,48,4,6,2023-2024
Takehiro Tomiyasu,7,2,0,34,13,9,2023-2024
Jorginho,3,8,0,25,5,7,2023-2024
Aaron Ramsdale,0,0,0,6,0,0,2023-2024
Jakub Kiwior,5,1,0,17,2,6,2023-2024
Thomas Partey,0,2,0,24,2,3,2023-2024
Fabio Vieira,6,10,1,13,0,0,2023-2024
Emile Smith Rowe,3,0,0,12,3,3,2023-2024
Jurriën Timber,2,0,1,2,1,0,2023-2024
Reiss Nelson,3,5,0,11,0,4,2023-2024
Mohamed Elneny,1,0,0,1,1,1,2023-2024
Ethan Nwaneri,1,1,0,0,1,0,2023-2024
Cédric Soares,0,0,0,0,0,0,2023-2024
