Player,Goals,Shots,ShotsonTarget,ShotsonTargetPercent,Shots_Per90,ShotsonTarget_Per90,GoalsPerShot,GoalsPerShotsonTarget,ShotDistance,xG,season_name
Pierre-Emerick Aubameyang,22,91,40,44,2.61,1.15,0.22,0.5,15.5,14.7,2019-2020
David Luiz,2,23,8,34.8,0.74,0.26,0.09,0.25,20.4,1.6,2019-2020
Bernd Leno,0,0,0,0,0,0,0,0,0,0,2019-2020
Granit Xhaka,1,11,3,27.3,0.38,0.1,0.09,0.33,23,0.5,2019-2020
Nicolas Pépé,5,49,17,34.7,2.19,0.76,0.08,0.24,20,4.9,2019-2020
Alexandre Lacazette,10,52,26,50,2.5,1.25,0.19,0.38,12.6,8.1,2019-2020
Bukayo Saka,1,13,4,30.8,0.67,0.21,0.08,0.25,17.9,1,2019-2020
Mattéo Guendouzi,0,11,5,45.5,0.57,0.26,0,0,22.2,0.8,2019-2020
Sead Kolašinac,0,4,0,0,0.21,0,0,0,12.2,0.4,2019-2020
Sokratis Papastathopoulos,2,7,2,28.6,0.37,0.11,0.29,1,9.9,1.1,2019-2020
Dani Ceballos,0,13,3,23.1,0.69,0.16,0,0,22.8,0.6,2019-2020
Mesut Özil,1,9,3,33.3,0.56,0.19,0.11,0.33,14.2,1.4,2019-2020
Lucas Torreira,1,21,6,28.6,1.25,0.36,0.05,0.17,18.8,1.4,2019-2020
Ainsley Maitland-Niles,0,4,1,25,0.26,0.06,0,0,18,0.4,2019-2020
Shkodran Mustafi,0,11,3,27.3,0.82,0.22,0,0,9.4,0.9,2019-2020
Héctor Bellerín,1,7,2,28.6,0.54,0.16,0.14,0.5,16.9,0.4,2019-2020
Calum Chambers,1,12,2,16.7,0.98,0.16,0.08,0.5,12,0.8,2019-2020
Kieran Tierney,1,6,2,33.3,0.55,0.18,0.17,0.5,20.6,0.2,2019-2020
Joe Willock,1,15,4,26.7,1.58,0.42,0.07,0.25,16.7,1.6,2019-2020
Emiliano Martínez,0,0,0,0,0,0,0,0,0,0,2019-2020
Eddie Nketiah,2,15,5,33.3,2.13,0.71,0.13,0.4,12.2,3.1,2019-2020
Reiss Nelson,1,11,4,36.4,1.57,0.57,0.09,0.25,17.4,0.9,2019-2020
Gabriel Martinelli,3,12,5,41.7,1.63,0.68,0.25,0.6,12.9,2.2,2019-2020
Rob Holding,0,2,0,0,0.31,0,0,0,6.3,0.2,2019-2020
Nacho Monreal,0,1,0,0,0.33,0,0,0,9.8,0,2019-2020
Cédric Soares,1,1,1,100,0.36,0.36,1,1,26.4,0,2019-2020
Pablo Marí,0,0,0,0,0,0,0,0,0,0,2019-2020
Henrikh Mkhitaryan,0,2,0,0,1.61,0,0,0,13.5,0.3,2019-2020
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,2019-2020
Bernd Leno,0,0,0,0,0,0,0,0,0,0,2020-2021
Bukayo Saka,5,61,20,32.8,2.15,0.71,0.08,0.25,16.1,6.9,2020-2021
Granit Xhaka,1,21,7,33.3,0.75,0.25,0.05,0.14,27.1,0.9,2020-2021
Rob Holding,0,14,2,14.3,0.49,0.07,0,0,12.8,1,2020-2021
Pierre-Emerick Aubameyang,10,55,19,34.5,2.12,0.73,0.15,0.42,14,10.2,2020-2021
Kieran Tierney,1,15,3,20,0.59,0.12,0.07,0.33,24,0.5,2020-2021
Héctor Bellerín,1,15,5,33.3,0.65,0.22,0.07,0.2,20.3,0.8,2020-2021
Gabriel Dos Santos,2,16,4,25,0.72,0.18,0.13,0.5,12.6,1.3,2020-2021
Alexandre Lacazette,13,42,25,59.5,1.97,1.17,0.24,0.4,14.9,11.7,2020-2021
Thomas Partey,0,26,4,15.4,1.53,0.23,0,0,27.1,1.3,2020-2021
Emile Smith Rowe,2,13,4,30.8,0.81,0.25,0.15,0.5,17.8,1.8,2020-2021
Dani Ceballos,0,13,2,15.4,0.72,0.11,0,0,21.7,0.6,2020-2021
Mohamed Elneny,1,9,2,22.2,0.52,0.12,0.11,0.5,21.5,0.4,2020-2021
David Luiz,1,15,2,13.3,0.97,0.13,0.07,0.5,19,0.9,2020-2021
Nicolas Pépé,10,47,19,40.4,2.62,1.06,0.19,0.47,15.7,5.8,2020-2021
Willian,1,20,3,15,1.28,0.19,0.05,0.33,19.4,1.9,2020-2021
Pablo Marí,0,2,0,0,0.2,0,0,0,21.6,0.1,2020-2021
Martin Ødegaard,1,15,3,20,1.56,0.31,0.07,0.33,22.5,0.7,2020-2021
Calum Chambers,0,8,0,0,0.96,0,0,0,16.6,0.4,2020-2021
Cédric Soares,0,7,2,28.6,0.84,0.24,0,0,25.2,0.3,2020-2021
Gabriel Martinelli,2,20,8,40,3.06,1.22,0.1,0.25,14.1,3.3,2020-2021
Ainsley Maitland-Niles,0,2,1,50,0.37,0.18,0,0,20.9,0.1,2020-2021
Eddie Nketiah,2,12,5,41.7,2.55,1.06,0.17,0.4,12.8,1.8,2020-2021
Mathew Ryan,0,0,0,0,0,0,0,0,0,0,2020-2021
Joe Willock,0,4,0,0,1.51,0,0,0,11.6,0.3,2020-2021
Sead Kolašinac,0,0,0,0,0,0,0,0,0,0,2020-2021
Reiss Nelson,0,1,0,0,1.27,0,0,0,12.1,0.1,2020-2021
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,2020-2021
Rúnar Alex Rúnarsson,0,0,0,0,0,0,0,0,0,0,2020-2021
Bukayo Saka,11,95,29,30.5,2.87,0.88,0.09,0.31,17.1,10.3,2021-2022
Gabriel Dos Santos,5,29,12,41.4,0.85,0.35,0.17,0.42,11.2,3.2,2021-2022
Aaron Ramsdale,0,0,0,0,0,0,0,0,0,0,2021-2022
Ben White,0,12,3,25,0.37,0.09,0,0,15.2,1,2021-2022
Martin Ødegaard,7,53,21,39.6,1.71,0.68,0.13,0.33,21,4.8,2021-2022
Granit Xhaka,1,27,5,18.5,1.04,0.19,0.04,0.2,23.4,1.4,2021-2022
Thomas Partey,2,44,9,20.5,1.95,0.4,0.05,0.22,22.5,2.8,2021-2022
Kieran Tierney,1,15,5,33.3,0.7,0.23,0.07,0.2,20.8,0.6,2021-2022
Emile Smith Rowe,10,40,23,57.5,1.87,1.08,0.25,0.43,15.8,6,2021-2022
Gabriel Martinelli,6,51,15,29.4,2.47,0.73,0.1,0.33,14.7,7.3,2021-2022
Alexandre Lacazette,4,43,12,27.9,2.17,0.61,0.05,0.17,15.4,8.4,2021-2022
Takehiro Tomiyasu,0,11,2,18.2,0.59,0.11,0,0,17.1,0.6,2021-2022
Cédric Soares,1,12,1,8.3,0.73,0.06,0.08,1,22.1,0.6,2021-2022
Nuno Tavares,1,23,2,8.7,1.76,0.15,0.04,0.5,19.8,1.9,2021-2022
Albert Sambi Lokonga,0,20,8,40,1.59,0.63,0,0,26.8,0.6,2021-2022
Pierre-Emerick Aubameyang,4,33,16,48.5,2.86,1.39,0.12,0.25,15,5.9,2021-2022
Rob Holding,1,4,1,25,0.43,0.11,0.25,1,8.4,0.4,2021-2022
Eddie Nketiah,5,29,13,44.8,3.13,1.4,0.17,0.38,14.6,4.4,2021-2022
Mohamed Elneny,0,8,2,25,0.89,0.22,0,0,26.9,0.2,2021-2022
Nicolas Pépé,1,23,7,30.4,2.97,0.91,0.04,0.14,15.1,2.6,2021-2022
Bernd Leno,0,0,0,0,0,0,0,0,0,0,2021-2022
Ainsley Maitland-Niles,0,2,0,0,0.67,0,0,0,30.3,0.1,2021-2022
Pablo Marí,0,1,0,0,0.5,0,0,0,5.8,0.1,2021-2022
Calum Chambers,0,2,0,0,1.06,0,0,0,20.4,0.1,2021-2022
Sead Kolašinac,0,0,0,0,0,0,0,0,0,0,2021-2022
Folarin Balogun,0,3,0,0,3.86,0,0,0,14.4,0.2,2021-2022
Reiss Nelson,0,1,0,0,4.5,0,0,0,18.8,0.1,2021-2022
Aaron Ramsdale,0,0,0,0,0,0,0,0,0,0,2022-2023
Gabriel Dos Santos,3,32,9,28.1,0.84,0.24,0.09,0.33,11.9,5.1,2022-2023
Bukayo Saka,14,86,29,33.7,2.43,0.82,0.14,0.41,16.3,11.2,2022-2023
Martin Ødegaard,15,93,31,33.3,2.68,0.89,0.16,0.48,19.2,10,2022-2023
Ben White,2,10,2,20,0.29,0.06,0.2,1,16.7,1.3,2022-2023
Granit Xhaka,7,40,14,35,1.2,0.42,0.18,0.5,16.6,4.7,2022-2023
Gabriel Martinelli,15,79,30,38,2.55,0.97,0.19,0.5,15.4,9.3,2022-2023
Thomas Partey,3,28,4,14.3,1.01,0.14,0.11,0.75,20.4,2.2,2022-2023
William Saliba,2,6,3,50,0.22,0.11,0.33,0.67,13.8,0.9,2022-2023
Oleksandr Zinchenko,1,28,7,25,1.19,0.3,0.04,0.14,22.7,1.4,2022-2023
Gabriel Jesus,11,76,31,40.8,3.31,1.35,0.13,0.32,10.6,14,2022-2023
Leandro Trossard,1,17,5,29.4,1.64,0.48,0.06,0.2,17.5,1.8,2022-2023
Eddie Nketiah,4,41,14,34.1,3.39,1.16,0.1,0.29,11.3,8.2,2022-2023
Jorginho,0,6,0,0,0.63,0,0,0,22.3,0.2,2022-2023
Kieran Tierney,0,7,2,28.6,0.79,0.23,0,0,23.1,0.3,2022-2023
Takehiro Tomiyasu,0,3,0,0,0.41,0,0,0,12.1,0.2,2022-2023
Rob Holding,1,5,2,40,0.8,0.32,0.2,0.5,12.8,0.3,2022-2023
Jakub Kiwior,1,1,1,100,0.21,0.21,1,1,10,0.1,2022-2023
Fabio Vieira,1,15,2,13.3,2.63,0.35,0.07,0.5,20.1,0.8,2022-2023
Albert Sambi Lokonga,0,0,0,0,0,0,0,0,0,0,2022-2023
Mohamed Elneny,0,0,0,0,0,0,0,0,0,0,2022-2023
Reiss Nelson,3,12,7,58.3,5.09,2.97,0.25,0.43,16.4,1.1,2022-2023
Emile Smith Rowe,0,4,1,25,2.09,0.52,0,0,15.8,0.3,2022-2023
Cédric Soares,0,0,0,0,0,0,0,0,0,0,2022-2023
Marquinhos,0,0,0,0,0,0,0,0,0,0,2022-2023
Ethan Nwaneri,0,0,0,0,0,0,0,0,0,0,2022-2023
William Saliba,2,7,2,28.6,0.29,0.08,0.29,1,11.8,1.4,2023-2024
Declan Rice,4,30,9,30,1.31,0.39,0.13,0.44,21.3,1.6,2023-2024
Bukayo Saka,10,65,21,32.3,2.95,0.95,0.11,0.33,16.6,10.2,2023-2024
Martin Ødegaard,4,44,13,29.5,2.12,0.63,0.05,0.15,21.3,4.5,2023-2024
Ben White,1,7,3,42.9,0.35,0.15,0.14,0.33,13.4,0.6,2023-2024
Gabriel Dos Santos,4,19,7,36.8,0.94,0.35,0.21,0.57,8.1,2.8,2023-2024
Gabriel Martinelli,5,40,14,35,2.35,0.82,0.13,0.36,15.8,4.2,2023-2024
David Raya,0,0,0,0,0,0,0,0,0,0,2023-2024
Oleksandr Zinchenko,1,15,3,20,0.95,0.19,0.07,0.33,22.4,0.5,2023-2024
Kai Havertz,4,29,6,20.7,1.81,0.37,0.1,0.5,12.6,5.3,2023-2024
Gabriel Jesus,4,41,16,39,3.38,1.32,0.1,0.25,11.5,5.3,2023-2024
Eddie Nketiah,5,34,11,32.4,3.01,0.98,0.15,0.45,13,4.2,2023-2024
Leandro Trossard,6,35,11,31.4,3.8,1.19,0.17,0.55,16.4,4.8,2023-2024
Takehiro Tomiyasu,1,8,2,25,1.14,0.28,0.13,0.5,17.8,0.5,2023-2024
Jorginho,0,4,0,0,0.73,0,0,0,24.6,0.1,2023-2024
Aaron Ramsdale,0,0,0,0,0,0,0,0,0,0,2023-2024
Jakub Kiwior,0,3,1,33.3,0.61,0.2,0,0,12,0.7,2023-2024
Thomas Partey,0,2,1,50,0.72,0.36,0,0,17,0.1,2023-2024
Fabio Vieira,1,5,1,20,1.87,0.37,0,0,18.3,1.2,2023-2024
Emile Smith Rowe,0,6,4,66.7,2.54,1.69,0,0,16.6,1.1,2023-2024
Jurriën Timber,0,0,0,0,0,0,0,0,0,0,2023-2024
Reiss Nelson,0,2,0,0,1.24,0,0,0,21.8,0.1,2023-2024
Mohamed Elneny,0,2,1,50,6.92,3.46,0,0,25.8,0.1,2023-2024
Ethan Nwaneri,0,0,0,0,0,0,0,0,0,0,2023-2024
Cédric Soares,0,0,0,0,0,0,0,0,0,0,2023-2024
